token	corpus size	all contexts size	frequency	co-frequency	specificity
la	339185	66125	9837	3239	223.65
française	339185	66125	523	387	159.17
officielle	339185	66125	235	223	139.96
signes	339185	66125	419	311	128.72
maternelle	339185	66125	150	145	94.71
français	339185	66125	813	374	65.04
officielles	339185	66125	107	98	57.90
une	339185	66125	3499	1055	51.49
locuteurs	339185	66125	139	103	43.13
parlent	339185	66125	92	74	35.48
trangère	339185	66125	70	58	29.30
La	339185	66125	1108	368	26.80
dans	339185	66125	2719	761	26.70
organe	339185	66125	87	62	24.75
est	339185	66125	3376	901	24.33
muscles	339185	66125	77	56	23.15
parlée	339185	66125	42	38	22.31
des	339185	66125	7184	1722	21.26
de	339185	66125	15965	3553	19.20
cible	339185	66125	29	28	18.52
reconnue	339185	66125	47	37	17.50
oïl	339185	66125	51	38	16.53
anglais	339185	66125	304	121	15.75
dialectes	339185	66125	38	31	15.57
minoritaire	339185	66125	29	26	15.18
régionales	339185	66125	34	28	14.32
maîtrise	339185	66125	105	56	13.99
orales	339185	66125	31	26	13.70
parlées	339185	66125	24	22	13.37
maîtrisent	339185	66125	40	30	13.32
commune	339185	66125	46	32	12.66
comme	339185	66125	854	253	12.43
monde	339185	66125	228	90	11.75
parler	339185	66125	183	76	11.33
seconde	339185	66125	60	36	11.27
leur	339185	66125	597	184	10.88
dont	339185	66125	295	106	10.73
rouler	339185	66125	20	18	10.69
guadeloupéen	339185	66125	42	28	10.48
indo	339185	66125	14	14	9.94
signées	339185	66125	14	14	9.94
maîtrisant	339185	66125	21	18	9.94
papilles	339185	66125	61	34	9.49
africaines	339185	66125	35	24	9.46
patois	339185	66125	35	24	9.46
enrichissement	339185	66125	18	16	9.37
culture	339185	66125	161	65	9.23
apprendre	339185	66125	89	43	9.17
France	339185	66125	242	87	9.01
Liste	339185	66125	23	18	8.73
Délégation	339185	66125	12	12	8.52
qui	339185	66125	2281	553	8.49
bout	339185	66125	28	20	8.46
frein	339185	66125	28	20	8.46
autochtones	339185	66125	28	20	8.46
2010	339185	66125	90	42	8.42
Français	339185	66125	87	41	8.39
orale	339185	66125	60	32	8.35
langues	339185	66125	966	260	8.33
sourds	339185	66125	70	35	8.10
sa	339185	66125	333	108	8.09
européennes	339185	66125	20	16	8.05
palais	339185	66125	62	32	7.90
République	339185	66125	35	22	7.68
trangères	339185	66125	30	20	7.67
poissons	339185	66125	13	12	7.50
position	339185	66125	70	34	7.50
principalement	339185	66125	64	32	7.47
votre	339185	66125	199	71	7.39
Défense	339185	66125	17	14	7.39
dominante	339185	66125	17	14	7.39
Trésor	339185	66125	10	10	7.10
Commencez	339185	66125	10	10	7.10
tonus	339185	66125	10	10	7.10
deuxième	339185	66125	37	22	7.06
minoritaires	339185	66125	22	16	7.05
officiellement	339185	66125	22	16	7.05
phonèmes	339185	66125	27	18	6.96
icône	339185	66125	52	27	6.85
décorative	339185	66125	52	27	6.85
véritable	339185	66125	44	24	6.68
