resultats-coocurences-kr
token	corpus size	all contexts size	frequency	co-frequency	specificity
프로그래밍	157436	19990	285	156	63.69
언어	157436	19990	1248	343	44.12
개념	157436	19990	45	35	22.47
중	157436	19990	234	81	17.36
문자	157436	19990	91	42	14.35
관련	157436	19990	182	64	14.29
Language	157436	19990	48	29	14.06
사정	157436	19990	22	19	14.02
규정에	157436	19990	14	14	12.55
상위	157436	19990	38	24	12.36
표준말	157436	19990	15	14	11.43
규정과	157436	19990	12	12	10.76
CSS	157436	19990	26	18	10.41
국어	157436	19990	85	35	10.37
cript	157436	19990	22	16	9.82
에서	157436	19990	69	30	9.69
C	157436	19990	194	57	9.36
미국의	157436	19990	35	20	9.30
세계의	157436	19990	32	19	9.26
기호의	157436	19990	10	10	8.96
애매한	157436	19990	10	10	8.96
개	157436	19990	214	60	8.95
겪는	157436	19990	14	12	8.92
아동	157436	19990	14	12	8.92
개별	157436	19990	48	23	8.60
하나로	157436	19990	25	16	8.56
위한	157436	19990	120	40	8.52
마크업	157436	19990	20	14	8.32
HTML	157436	19990	34	18	7.74
JavaS	157436	19990	17	12	7.26
함수형	157436	19990	47	21	7.26
사용	157436	19990	103	34	7.26
비공식적으로	157436	19990	8	8	7.17
italy	157436	19990	8	8	7.17
venice	157436	19990	8	8	7.17
1988	157436	19990	8	8	7.17
결실을	157436	19990	8	8	7.17
발달의	157436	19990	8	8	7.17
순위	157436	19990	23	14	7.17
원주민	157436	19990	30	16	7.01
스크립트	157436	19990	18	12	6.84
있는	157436	19990	419	90	6.74
표준	157436	19990	133	39	6.68
분류	157436	19990	81	28	6.58
다양성	157436	19990	16	11	6.51
자연	157436	19990	19	12	6.47
목적	157436	19990	19	12	6.47
비율	157436	19990	11	9	6.44
원칙	157436	19990	11	9	6.44
맞춤법	157436	19990	36	17	6.42
정보	157436	19990	52	21	6.37
대한민국	157436	19990	83	28	6.33
대응되는	157436	19990	9	8	6.28
아메리카	157436	19990	34	16	6.06
년에	157436	19990	50	20	6.02
아이콘	157436	19990	59	22	5.95
진화	157436	19990	24	13	5.90
예제	157436	19990	15	10	5.78
언어와	157436	19990	88	28	5.77
조상	157436	19990	10	8	5.64
점유율	157436	19990	10	8	5.64
저급	157436	19990	10	8	5.64
규정	157436	19990	10	8	5.64
기준	157436	19990	45	18	5.49
를	157436	19990	284	63	5.48
사회에서	157436	19990	13	9	5.45
사정한	157436	19990	8	7	5.43
지도	157436	19990	16	10	5.41
“정답	157436	19990	6	6	5.38
없어”	157436	19990	6	6	5.38
사용자는	157436	19990	6	6	5.38
보존을	157436	19990	6	6	5.38
공기가	157436	19990	6	6	5.38
사전에서의	157436	19990	6	6	5.38
APL	157436	19990	6	6	5.38
Verilog	157436	19990	6	6	5.38
수식	157436	19990	6	6	5.38
공개어	157436	19990	6	6	5.38
Black	157436	19990	6	6	5.38
맨어	157436	19990	6	6	5.38
스반어	157436	19990	6	6	5.38
순화를	157436	19990	6	6	5.38
규정의	157436	19990	6	6	5.38
발음법	157436	19990	6	6	5.38
창조와	157436	19990	6	6	5.38
학습과	157436	19990	6	6	5.38
DSL	157436	19990	6	6	5.38
Python	157436	19990	42	17	5.31
세르보크로아트어	157436	19990	11	8	5.13
생활	157436	19990	17	10	5.09
원	157436	19990	24	12	5.03
사용한다	157436	19990	32	14	4.94
공식	157436	19990	63	21	4.86
비전	157436	19990	9	7	4.84
작은	157436	19990	25	12	4.81
목록	157436	19990	25	12	4.81
PHP	157436	19990	18	10	4.79
JavaScript	157436	19990	37	15	4.77
더욱	157436	19990	37	15	4.77
규정이	157436	19990	15	9	4.72
부문	157436	19990	12	8	4.71
검색어	157436	19990	12	8	4.71
표현하는	157436	19990	26	12	4.60
질의	157436	19990	7	6	4.59
마오리어	157436	19990	7	6	4.59
마케도니아어	157436	19990	7	6	4.59
소말리어	157436	19990	7	6	4.59
소토어	157436	19990	7	6	4.59
특화	157436	19990	7	6	4.59
Ruby	157436	19990	30	13	4.58
인기	157436	19990	19	10	4.53
난해한	157436	19990	19	10	4.53
시트	157436	19990	5	5	4.48
비표준어	157436	19990	5	5	4.48
강력한	157436	19990	23	11	4.44
조선어	157436	19990	53	18	4.39
중류	157436	19990	10	7	4.37
사용되는	157436	19990	104	28	4.33
타입	157436	19990	68	21	4.32
이유는	157436	19990	20	10	4.29
4	157436	19990	20	10	4.29
발달	157436	19990	20	10	4.29
의사소통을	157436	19990	32	13	4.23
국기	157436	19990	55	18	4.16
방언	157436	19990	169	39	4.12
