item	total	count part-1	specif part-1	count part-2	specif part-2
	157436		52889		104547
언어	1248	654	42.36	594	-42.36
2	1162	181	-43.62	981	43.62
있다	1049	469	13.77	580	-13.77
수	990	361	2.37	629	-2.37
4	883	99	-53.33	784	53.33
0	862	11	-132.33	851	132.33
1	857	190	-13.23	667	13.23
3	765	98	-39.37	667	39.37
이	665	301	9.97	364	-9.97
5	616	111	-17.62	505	17.62
BUTTON	522	31	-52.17	491	52.17
언어의	484	243	13.75	241	-13.75
한국어	477	241	14.03	236	-14.03
의	476	137	-2.50	339	2.50
있는	419	176	4.20	243	-4.20
그	416	181	5.24	235	-5.24
언어를	409	205	11.70	204	-11.70
번	398	21	-42.40	377	42.40
9	394	53	-19.43	341	19.43
편집	394	56	-17.95	338	17.95
다른	378	148	2.49	230	-2.49
한다	362	161	5.38	201	-5.38
같은	351	147	3.64	204	-3.64
한	324	208	28.78	116	-28.78
6	313	58	-8.91	255	8.91
역사	312	19	-31.08	293	31.08
언어는	306	154	9.22	152	-9.22
및	301	91	-1.64	210	1.64
문서의	294	12	-35.03	282	35.03
때문에	289	130	4.82	159	-4.82
프로그래밍	285	135	6.34	150	-6.34
를	284	96	1.30	188	-1.30
등	282	124	4.16	158	-4.16
8	279	43	-11.45	236	11.45
하는	277	120	3.77	157	-3.77
이전	273	4	-41.41	269	41.41
대한	265	100	1.73	165	-1.73
r	265	7	-36.00	258	36.00
판	264	5	-38.45	259	38.45
문단	257	1	-43.62	256	43.62
더	255	100	2.06	155	-2.06
영어	248	102	2.62	146	-2.62
7	244	64	-2.58	180	2.58
문서	241	59	-3.28	182	3.28
있습니다	240	56	-3.84	184	3.84
중	234	112	5.69	122	-5.69
언어가	233	117	7.20	116	-7.20
년	224	83	1.52	141	-1.52
10	219	65	-1.56	154	1.56
것이	215	95	3.52	120	-3.52
개	214	96	3.79	118	-3.79
사용하는	213	88	2.45	125	-2.45
것이다	213	90	2.76	123	-2.76
가장	212	92	3.17	120	-3.17
표준어	206	104	6.66	102	-6.66
경우	204	70	1.24	134	-1.24
많이	202	90	3.51	112	-3.51
는	198	69	1.26	129	-1.26
따라	196	78	1.95	118	-1.95
한국어의	196	98	6.10	98	-6.10
C	194	64	-1.22	130	1.22
쓰는	189	82	2.93	107	-2.93
관련	182	77	2.52	105	-2.52
42	182	5	-24.66	177	24.66
많은	180	76	2.48	104	-2.48
언어로	178	90	5.93	88	-5.93
가	174	69	1.82	105	-1.82
할	173	81	4.02	92	-4.02
로	172	52	-1.37	120	1.37
것은	170	73	2.60	97	-2.60
방언	169	57	1.19	112	1.19
에	169	49	-1.53	120	1.53
없는	167	69	2.14	98	-2.14
이런	164	73	3.03	91	-3.03
12	164	45	-1.78	119	1.78
하지만	163	71	2.72	92	-2.72
경우가	163	72	2.91	91	-2.91
한국어를	160	80	5.16	80	-5.16
o	159	20	-9.09	139	9.09
11	156	32	-3.93	124	3.93
을	156	54	1.19	102	-1.19
때	153	67	2.68	86	-2.68
등의	153	69	3.08	84	-3.08
아니라	152	72	3.86	80	-3.86
매우	150	69	3.33	81	-3.33
또한	149	70	3.66	79	-3.66
예를	144	56	1.55	88	-1.55
여러	142	71	4.69	71	-4.69
제	141	68	3.96	73	-3.96
것을	141	57	1.79	84	-1.79
위해	137	56	1.85	81	-1.85
언어학	135	75	7.09	60	-7.09
있으며	134	46	1.15	88	-1.15
이는	134	53	1.60	81	-1.60
표준	133	63	3.50	70	-3.50
많다	132	58	2.48	74	-2.48
그러나	131	59	2.75	72	-2.75
라는	131	54	1.87	77	-1.87
한국	130	53	1.78	77	-1.78
모든	129	45	1.15	84	-1.15
44	129	6	-14.96	123	14.96
경우도	129	58	2.71	71	-2.71
와	128	46	1.20	82	-1.20
